"filename", "language", "C++", "Dart", "JSON", "YAML", "Markdown", "HTML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\USER\projects\health_app\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\USER\projects\health_app\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\USER\projects\health_app\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 5, 13, 73
"c:\Users\USER\projects\health_app\android\app\google-services.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Users\USER\projects\health_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"c:\Users\USER\projects\health_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 6, 1, 35
"c:\Users\USER\projects\health_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\USER\projects\health_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\USER\projects\health_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\USER\projects\health_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"c:\Users\USER\projects\health_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\USER\projects\health_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\USER\projects\health_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\USER\projects\health_app\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\USER\projects\health_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\USER\projects\health_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\USER\projects\health_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\USER\projects\health_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\USER\projects\health_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\USER\projects\health_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\USER\projects\health_app\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\USER\projects\health_app\ios\firebase_app_id_file.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\USER\projects\health_app\lib\core\commons\category_card.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 38
"c:\Users\USER\projects\health_app\lib\core\commons\custom_elevated_button.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\USER\projects\health_app\lib\core\commons\custom_textformfield.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 50
"c:\Users\USER\projects\health_app\lib\core\commons\doctor_card.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 50
"c:\Users\USER\projects\health_app\lib\core\commons\enum.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\USER\projects\health_app\lib\core\commons\google_button.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\USER\projects\health_app\lib\core\commons\loader.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\USER\projects\health_app\lib\core\commons\utils.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 31
"c:\Users\USER\projects\health_app\lib\core\enums\enums.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\USER\projects\health_app\lib\core\extensions\extension.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\USER\projects\health_app\lib\features\admin\controller\admin_controller.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\USER\projects\health_app\lib\features\admin\repository\admin_repository.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 28, 13, 95
"c:\Users\USER\projects\health_app\lib\features\admin\screens\view_help_messages.dart", "Dart", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 47, 7, 126
"c:\Users\USER\projects\health_app\lib\features\admin\screens\view_help_messages_details.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\USER\projects\health_app\lib\features\auth\controller\auth_controller.dart", "Dart", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 84
"c:\Users\USER\projects\health_app\lib\features\auth\repository\auth_respository.dart", "Dart", 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 10, 29, 216
"c:\Users\USER\projects\health_app\lib\features\auth\screens\login.dart", "Dart", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 110
"c:\Users\USER\projects\health_app\lib\features\auth\screens\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 5, 57
"c:\Users\USER\projects\health_app\lib\features\auth\screens\register.dart", "Dart", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 133
"c:\Users\USER\projects\health_app\lib\features\auth\screens\register_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 6, 62
"c:\Users\USER\projects\health_app\lib\features\chat\controller\chat_controller.dart", "Dart", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 61
"c:\Users\USER\projects\health_app\lib\features\chat\repository\chat_repository.dart", "Dart", 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 211
"c:\Users\USER\projects\health_app\lib\features\chat\screens\chat_screen.dart", "Dart", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 49, 10, 203
"c:\Users\USER\projects\health_app\lib\features\chat\widgets\chat_sample.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 53
"c:\Users\USER\projects\health_app\lib\features\chat\widgets\receiver_card.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
