Date : 2024-02-04 15:56:30
Directory : c:\Users\USER\projects\health_app
Total : 110 files,  5984 codes, 938 comments, 691 blanks, all 7613 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         64 |      4,429 |        682 |        434 |      5,545 |
| C++        |         16 |        548 |        118 |        181 |        847 |
| XML        |          9 |        462 |         41 |         10 |        513 |
| JSON       |          7 |        301 |          0 |          4 |        305 |
| Groovy     |          3 |         90 |          5 |         22 |        117 |
| Swift      |          4 |         50 |          3 |         12 |         65 |
| YAML       |          2 |         45 |         73 |         11 |        129 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |        110 |      5,984 |        938 |        691 |      7,613 |
| . (Files)                                                                                       |          3 |         55 |         73 |         18 |        146 |
| android                                                                                         |         12 |        195 |         44 |         31 |        270 |
| android (Files)                                                                                 |          3 |         38 |          0 |         10 |         48 |
| android\app                                                                                     |          8 |        152 |         44 |         20 |        216 |
| android\app (Files)                                                                             |          2 |         94 |          5 |         13 |        112 |
| android\app\src                                                                                 |          6 |         58 |         39 |          7 |        104 |
| android\app\src\debug                                                                           |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                            |          4 |         50 |         31 |          5 |         86 |
| android\app\src\main (Files)                                                                    |          1 |         28 |          6 |          1 |         35 |
| android\app\src\main\res                                                                        |          3 |         22 |         25 |          4 |         51 |
| android\app\src\main\res\drawable                                                               |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                 |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                           |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                         |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                  |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                          |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                             |          8 |        229 |          2 |          9 |        240 |
| ios (Files)                                                                                     |          1 |          7 |          0 |          0 |          7 |
| ios\Runner                                                                                      |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                              |          2 |         13 |          0 |          3 |         16 |
| ios\Runner\Assets.xcassets                                                                      |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                   |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                 |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                           |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                             |         63 |      4,415 |        672 |        427 |      5,514 |
| lib (Files)                                                                                     |          4 |        199 |         16 |         12 |        227 |
| lib\core                                                                                        |         10 |        230 |          5 |         30 |        265 |
| lib\core\commons                                                                                |          8 |        216 |          5 |         27 |        248 |
| lib\core\enums                                                                                  |          1 |          1 |          0 |          1 |          2 |
| lib\core\extensions                                                                             |          1 |         13 |          0 |          2 |         15 |
| lib\features                                                                                    |         40 |      3,450 |        587 |        307 |      4,344 |
| lib\features\admin                                                                              |          4 |        163 |         75 |         29 |        267 |
| lib\features\admin\controller                                                                   |          1 |         22 |          0 |          6 |         28 |
| lib\features\admin\repository                                                                   |          1 |         54 |         28 |         13 |         95 |
| lib\features\admin\screens                                                                      |          2 |         87 |         47 |         10 |        144 |
| lib\features\auth                                                                               |          6 |        469 |        119 |         74 |        662 |
| lib\features\auth\controller                                                                    |          1 |         67 |          1 |         16 |         84 |
| lib\features\auth\repository                                                                    |          1 |        177 |         10 |         29 |        216 |
| lib\features\auth\screens                                                                       |          4 |        225 |        108 |         29 |        362 |
| lib\features\chat                                                                               |          6 |        482 |         55 |         47 |        584 |
| lib\features\chat\controller                                                                    |          1 |         50 |          1 |         10 |         61 |
| lib\features\chat\repository                                                                    |          1 |        190 |          3 |         18 |        211 |
| lib\features\chat\screens                                                                       |          1 |        144 |         49 |         10 |        203 |
| lib\features\chat\widgets                                                                       |          3 |         98 |          2 |          9 |        109 |
| lib\features\home                                                                               |         20 |      1,995 |        308 |        122 |      2,425 |
| lib\features\home\controller                                                                    |          1 |         23 |         16 |          9 |         48 |
| lib\features\home\repository                                                                    |          1 |         32 |         21 |         12 |         65 |
| lib\features\home\screens                                                                       |         13 |      1,730 |        222 |         81 |      2,033 |
| lib\features\home\widgets                                                                       |          5 |        210 |         49 |         20 |        279 |
| lib\features\medicals                                                                           |          3 |        243 |         30 |         28 |        301 |
| lib\features\medicals\controller                                                                |          1 |         33 |          4 |          5 |         42 |
| lib\features\medicals\repository                                                                |          1 |        129 |         19 |         16 |        164 |
| lib\features\medicals\screens                                                                   |          1 |         81 |          7 |          7 |         95 |
| lib\features\splash_screen                                                                      |          1 |         98 |          0 |          7 |        105 |
| lib\models                                                                                      |          7 |        435 |         61 |         65 |        561 |
| lib\providers                                                                                   |          1 |          7 |          0 |          2 |          9 |
| lib\theme                                                                                       |          1 |         94 |          3 |         11 |        108 |
| linux                                                                                           |          5 |         98 |         27 |         38 |        163 |
